,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
C3_preadult_era,0,-4734.776478243382,17.250425406999966,0.0,0.8080217330323561,42.1649519744774,0.0,False,log
B3_three_group,1,-4735.564234981363,16.061844269949688,0.7877567379818338,0.19197826696764386,42.11053238726917,1.6011700037375396,False,log
