,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
M_iid,0,-1847.0038158651091,0.7119402635248662,0.0,0.9999999999999987,12.964282451282527,0.0,False,log
M_trend,1,-1847.5513018537183,0.9978383644431688,0.547485988609262,4.85722573273506e-16,12.963484225217401,0.09490740354377993,False,log
M_step_trend,2,-1847.555244118563,1.3585565703538123,0.551428253453885,7.216449660063518e-16,12.937778424967506,0.6465882798516445,False,log
M_step,3,-1847.5970780020423,1.0050878588319847,0.5932621369332036,2.220446049250313e-16,12.969660500717207,0.04157936067506569,False,log
