,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
iid_disp,0,-1841.3774193866043,0.7525687641154946,0.0,1.0,13.056013174228289,0.0,False,log
trend_disp,1,-1841.4796993741102,0.7396664506673005,0.10227998750583644,3.096134459923405e-14,13.067036553559284,0.03262964109386175,False,log
constant_disp,2,-1847.0038158651091,0.7119402635248662,5.6263964785048675,0.0,12.964282451282527,0.1319835197276431,False,log
