,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
D3_all_era,0,-4733.421667255223,18.32920635634582,0.0,0.7486556859023209,42.340245385710254,0.0,False,log
C3_preadult_era,1,-4734.776478243382,17.250425406999966,1.3548109881581087,0.20138526453319813,42.1649519744774,2.3227875235989868,False,log
B3_no_interaction,2,-4735.564234981363,16.061844269949688,2.1425677261399425,0.04995904956448094,42.11053238726917,2.64426426209283,False,log
