,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
iid_disp,0,-4676.298544008773,36.690082117894235,0.0,0.7960434395564123,41.682993771788986,0.0,True,log
trend_disp,1,-4732.564655191569,21.75338628980535,56.26611118279594,0.04083384294040831,44.46928189235153,18.76034957509936,False,log
constant_disp,2,-4761.1435309927565,12.528613845438485,84.8449869839834,0.16312271750317942,41.88070895049472,22.03048070972529,False,log
