,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
B_adults_minors,0,-4761.8355456685495,14.785986572753245,0.0,0.9999999999878213,41.6253341165551,0.0,False,log
A_persons,1,-4845.4232464202205,13.93214226719465,83.58770075167186,1.2178702490928117e-11,39.947780881486494,12.141098353761917,False,log
