,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
D3_all_era,0,-4733.421667255223,18.32920635634582,0.0,0.748655378687667,42.340245385710254,0.0,False,log
C3_preadult_era,1,-4734.776478243382,17.250425406999966,1.3548109881581087,0.20137731808721318,42.1649519744774,2.3227875235989868,False,log
B3_three_group,2,-4735.564234981363,16.061844269949688,2.1425677261399425,0.04996730322527617,42.11053238726917,2.64426426209283,False,log
C_adults_minors_era,3,-4761.6188440518135,15.732920341916724,28.19717679658928,0.0,41.631947192498416,7.3958911592251155,False,log
B_adults_minors,4,-4761.8355456685495,14.785986572753245,28.413878413325435,0.0,41.6253341165551,7.398043209627478,False,log
A_era_persons_era,5,-4842.720124482344,15.673398738671494,109.2984572271194,0.0,40.07278754184727,13.750131034193561,False,log
A_persons,6,-4845.4232464202205,13.93214226719465,112.00157916499731,0.0,39.947780881486494,13.880640927218584,False,log
