doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2536.7122336714583,-2533.9675957534837,2.7446379179746145,2.5050984656646826,presence,1
DM.1,1307,-2134.890478053974,-2132.9384454494275,1.95203260454673,3.552815420091786,presence,1
D.2,1307,-1774.5905285062906,-1774.516638085755,0.07389042053569028,5.371242184738938,presence,1
Report of selection and medical officers,1307,-1254.336716241429,-1254.2886048910223,0.048111350406770725,0.06853264003561327,presence,1
Testimonial medical form (Medical & Health Documents),1307,-865.2809574911939,-865.2691017722183,0.011855718975652962,0.13378169699282932,presence,1
NAMA agreement,1307,-1542.8760455467132,-1542.9369054090444,-0.06085986233119911,1.796893817913259,count,1
Registration card,1307,-1391.4851292436274,-1391.6639620624978,-0.17883281887043267,0.36471382318599765,count,1
Testimonial labour (Qualification & Employment Proof),1307,-3111.474819392698,-3111.7737994115623,-0.298980018864313,0.3287676432872362,count,1
Approval notice,1307,-1126.5455984931627,-1127.0246322941623,-0.4790338009995594,0.43728128806226335,count,1
D.1,1307,-1922.7737393557277,-1925.6478313167408,-2.874091961013164,1.9013894266971365,count,1
Judicial and political background check,1307,-1705.4117144882446,-1708.5508960507946,-3.139181562549993,3.3093067969718066,count,1
