doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2480.076579759322,-2477.941465539189,2.135114220133346,2.497328664553307,presence,18
Approval notice,1307,-1083.979605577601,-1083.6367445151782,0.34286106242279857,0.18729569077224362,presence,18
Testimonial medical form (Medical & Health Documents),1307,-880.4909412973989,-880.2081219325609,0.2828193648380193,0.11059780438290204,presence,18
Registration card,1307,-1412.9155837301878,-1412.8106919587829,0.10489177140493666,0.2906526249073261,presence,18
NAMA agreement,1307,-1547.4452273859706,-1547.3761411644725,0.06908622149808252,1.9652200244574416,presence,18
Report of selection and medical officers,1307,-1335.2361682002092,-1335.3119912376283,-0.07582303741901342,0.14519354987558122,count,18
Testimonial labour (Qualification & Employment Proof),1307,-3090.3042433011196,-3090.430191874032,-0.1259485729124208,0.30098737025013284,count,18
D.2,1307,-1799.500905918393,-1800.197478466489,-0.6965725480959009,4.849974919471325,count,18
DM.1,1307,-2206.3770768750755,-2207.311446452603,-0.9343695775273773,4.095733725885332,count,18
D.1,1307,-1974.085805121695,-1975.8909857744218,-1.8051806527266763,1.2958164112450468,count,18
Judicial and political background check,1307,-1750.3689979313644,-1755.379437995844,-5.010440064479553,3.8620167503514176,count,18
