doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2556.689020840068,-2553.590711279712,3.0983095603560287,2.5136911426156714,presence,10
DM.1,1307,-2099.0376401076155,-2098.1638106121018,0.8738294955137462,3.6509980573047156,presence,10
Approval notice,1307,-1082.8535581866383,-1082.5544984941957,0.2990596924425972,0.30248616941561973,presence,10
Testimonial labour (Qualification & Employment Proof),1307,-3087.98189691887,-3087.883120904413,0.0987760144571439,0.20940601785181262,presence,10
Testimonial medical form (Medical & Health Documents),1307,-957.323528839438,-957.4278075018105,-0.10427866237250782,0.09922720465873387,count,10
Report of selection and medical officers,1307,-1202.715594574453,-1202.9430532985702,-0.22745872411724122,0.054717171705406395,count,10
NAMA agreement,1307,-1606.600242322024,-1606.8282431532907,-0.22800083126662685,2.2179627041895076,count,10
Registration card,1307,-1372.656244929596,-1372.8928358976395,-0.2365909680436289,0.34087972800847643,count,10
D.1,1307,-1939.6524148329104,-1941.8453255006452,-2.19291066773485,1.3172292612926952,count,10
Judicial and political background check,1307,-1739.4139029375842,-1743.6250497603128,-4.211146822728551,3.9647306425588296,count,10
D.2,1307,-1840.0647130784105,-1845.221640983892,-5.156927905481552,4.866999086137339,count,10
