doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2517.4505655579896,-2514.5373173792273,2.9132481787623874,2.3497346247652175,presence,19
Testimonial medical form (Medical & Health Documents),1307,-884.366468184236,-884.1864094454587,0.18005873877734757,0.12559532587694291,presence,19
Approval notice,1307,-994.4982806420201,-994.329810474281,0.16847016773908763,0.20323707394932697,presence,19
NAMA agreement,1307,-1574.1781238107762,-1574.0608784802992,0.11724533047708974,2.1339906297924935,presence,19
Report of selection and medical officers,1307,-1261.8981182037328,-1261.9007562329707,-0.002638029237914452,0.15048382919140038,count,19
DM.1,1307,-2172.095641006079,-2172.11412692468,-0.018485918601072626,3.473004561932928,count,19
Testimonial labour (Qualification & Employment Proof),1307,-3128.9756334473204,-3129.494848576943,-0.5192151296223528,0.35081002653662663,count,19
Registration card,1307,-1532.8436884131902,-1533.436960903778,-0.5932724905878786,0.5783490836627004,count,19
D.1,1307,-1950.1651369092835,-1952.3777008129387,-2.2125639036551092,1.4722675945136925,count,19
D.2,1307,-1786.7695850625255,-1790.3044597104858,-3.5348746479603506,4.430153282492302,count,19
Judicial and political background check,1307,-1746.3493004038542,-1751.5478686494648,-5.198568245610659,3.466362542793146,count,19
