doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
NAMA agreement,1307,-1670.8496448583562,-1668.597338351124,2.252306507232106,2.2342178531621575,presence,12
Testimonial medical letter (Medical & Health Documents),1307,-2521.0511725049887,-2519.2005712916753,1.850601213313439,2.38168804867389,presence,12
Registration card,1307,-1417.4225634976674,-1417.2785381610106,0.14402533665679584,0.2316986392160357,presence,12
DM.1,1307,-2075.4296141640543,-2075.4520247149508,-0.022410550896438508,3.4562065610828245,count,12
Testimonial medical form (Medical & Health Documents),1307,-961.8840591583969,-962.0289914476332,-0.1449322892362943,0.18984837448630565,count,12
Report of selection and medical officers,1307,-1279.664594535158,-1279.8250634474675,-0.160468912309625,0.06093250228137061,count,12
Approval notice,1307,-986.2100560537317,-986.4241533334724,-0.21409727974071302,0.16821476011986233,count,12
Testimonial labour (Qualification & Employment Proof),1307,-3052.1710350014214,-3052.434610675275,-0.26357567385366565,0.32867775629142254,count,12
D.1,1307,-1949.7417084114031,-1952.245962131091,-2.5042537196877674,1.5891028949018546,count,12
D.2,1307,-1781.9144634751015,-1785.405931311866,-3.4914678367645138,5.416285882481786,count,12
Judicial and political background check,1307,-1924.807968012867,-1928.5298630320258,-3.7218950191588647,3.556557059422935,count,12
