doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2530.061491852537,-2528.083632465376,1.977859387161061,2.3654455212312384,presence,11
NAMA agreement,1307,-1599.552062902288,-1598.566148082328,0.985914819960044,2.0656404462233833,presence,11
Approval notice,1307,-1081.446936094345,-1081.024949225849,0.4219868684958783,0.22537702796086623,presence,11
Report of selection and medical officers,1307,-1366.5445023924935,-1366.3573272499364,0.18717514255718015,0.16158586182624127,presence,11
Testimonial medical form (Medical & Health Documents),1307,-1068.2088643262578,-1068.266286696422,-0.05742237016420404,0.2555290231294772,count,11
Registration card,1307,-1432.631921076546,-1432.86630025926,-0.23437918271406488,0.4424556566233194,count,11
Testimonial labour (Qualification & Employment Proof),1307,-3072.40385737134,-3072.6447276642857,-0.24087029294560125,0.33644302044276164,count,11
D.2,1307,-1829.1764049884523,-1829.8398565945763,-0.6634516061239992,5.1404158069777415,count,11
DM.1,1307,-2247.98679864527,-2249.033147913052,-1.0463492677818067,3.873853775038164,count,11
D.1,1307,-1956.0333989438686,-1958.48748593829,-2.454086994421459,1.5661783940108163,count,11
Judicial and political background check,1307,-1732.0516925179115,-1736.5874634866268,-4.535770968715269,3.846932295579868,count,11
