doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
DM.1,1307,-2156.0862852793507,-2154.047506496114,2.0387787832369213,3.6503613431516677,presence,14
Testimonial medical letter (Medical & Health Documents),1307,-2545.2123671113377,-2543.2415872563315,1.9707798550061852,2.5254073218420445,presence,14
Approval notice,1307,-969.5731380958489,-969.4847586839132,0.08837941193564802,0.32469123717249,presence,14
Report of selection and medical officers,1307,-1347.5826872351597,-1347.5167449796027,0.06594225555704725,0.1407238118703008,presence,14
Testimonial labour (Qualification & Employment Proof),1307,-3157.8568575776517,-3157.82932483036,0.027532747291843407,0.2861353401891395,presence,14
Testimonial medical form (Medical & Health Documents),1307,-878.4264637734458,-878.4278725881984,-0.001408814752608123,0.11765573753744665,count,14
Registration card,1307,-1436.6043471493974,-1436.7930394138666,-0.1886922644691822,0.4634941931529706,count,14
NAMA agreement,1307,-1547.6667887653814,-1549.4936748005098,-1.826886035128382,2.0865418966187135,count,14
D.2,1307,-1814.832357106583,-1817.6905095125587,-2.8581524059757157,4.706027408287046,count,14
D.1,1307,-1956.250975620209,-1959.2374250566322,-2.9864494364232996,1.8580036108812426,count,14
Judicial and political background check,1307,-1742.4965534676603,-1746.795687452553,-4.2991339848927055,3.7574999309158437,count,14
