doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2533.8132560404547,-2531.5411882416174,2.27206779883727,2.377783142578166,presence,16
NAMA agreement,1307,-1560.4819961686837,-1559.5722980261583,0.9096981425254853,1.833811515203156,presence,16
Testimonial medical form (Medical & Health Documents),1307,-879.3482964902903,-879.1976051956982,0.15069129459209307,0.08007077554060006,presence,16
Report of selection and medical officers,1307,-1463.1020192744518,-1463.122799595451,-0.02078032099916527,0.34493150177825677,count,16
DM.1,1307,-2251.499147407824,-2251.5848367027547,-0.08568929493094402,4.4631519259116805,count,16
Registration card,1307,-1390.1375823365056,-1390.3056487834006,-0.16806644689495442,0.4501559895903525,count,16
Approval notice,1307,-1017.9444323837911,-1018.1697454122527,-0.2253130284616418,0.27344526627871285,count,16
Testimonial labour (Qualification & Employment Proof),1307,-3152.4788352003766,-3152.8388593997947,-0.3600241994181488,0.40591967303794124,count,16
D.2,1307,-1794.1579448869,-1795.564310697947,-1.4063658110469532,5.541379643420983,count,16
D.1,1307,-1946.830191452497,-1949.2578242848836,-2.4276328323865073,1.2555759568771525,count,16
Judicial and political background check,1307,-1693.8654792034185,-1699.6139886007109,-5.74850939729231,4.037424895436963,count,16
