doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2518.215428166135,-2515.5905152843525,2.6249128817826204,2.4250175347867398,presence,7
NAMA agreement,1307,-1641.317129528521,-1639.1422576698008,2.17487185872028,2.1653980956571113,presence,7
D.2,1307,-1723.588481792867,-1722.169544168497,1.4189376243700735,4.366821526581036,presence,7
Testimonial labour (Qualification & Employment Proof),1307,-3193.5209534773794,-3193.43793882756,0.08301464981923345,0.4129382895950307,presence,7
Approval notice,1307,-1020.0348001550165,-1019.9804082917668,0.0543918632496343,0.24538305464173774,presence,7
Registration card,1307,-1607.9777760885534,-1608.0243079618872,-0.04653187333383357,0.38181525264316707,count,7
Testimonial medical form (Medical & Health Documents),1307,-899.426765083524,-899.5422710239254,-0.11550594040147644,0.25636648766155756,count,7
Report of selection and medical officers,1307,-1331.5216613248458,-1331.6803192674124,-0.15865794256660593,0.1378402895402457,count,7
DM.1,1307,-2162.5684556393126,-2163.486727181168,-0.9182715418555745,4.109439417726985,count,7
D.1,1307,-1959.1068191783622,-1962.3790154344567,-3.272196256094503,1.7008848534797856,count,7
Judicial and political background check,1307,-1715.1177186504158,-1720.9082091672735,-5.790490516857744,3.974394350138732,count,7
