doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2538.7089415773353,-2536.303583445952,2.4053581313833092,2.3885161681061136,presence,15
NAMA agreement,1307,-1651.1595173076935,-1648.8227336176749,2.336783690018592,2.321154819359928,presence,15
Registration card,1307,-1430.654023521257,-1430.3960369432941,0.25798657796281077,0.41477980906584894,presence,15
Approval notice,1307,-1021.3359509864019,-1021.2887883282152,0.047162658186721274,0.3341689044222841,presence,15
Testimonial medical form (Medical & Health Documents),1307,-937.6264498527905,-937.65700195811,-0.030552105319429756,0.14832460529805166,count,15
Report of selection and medical officers,1307,-1301.0296128961616,-1301.1959098597083,-0.16629696354675616,0.09470820237146434,count,15
DM.1,1307,-2151.2303660996613,-2151.4681154079826,-0.23774930832132668,3.822246897545823,count,15
Testimonial labour (Qualification & Employment Proof),1307,-3142.168292408499,-3142.550583717498,-0.3822913089989015,0.3078749611709371,count,15
D.1,1307,-1980.4128105055988,-1983.1194463339634,-2.706635828364597,1.4361060932592453,count,15
D.2,1307,-1797.0419250246,-1800.1660349165304,-3.1241098919304022,5.165868963265075,count,15
Judicial and political background check,1307,-1713.0144827332979,-1717.810990228475,-4.7965074951771385,3.897977428707861,count,15
