doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2520.111695568669,-2517.8610369501166,2.2506586185522792,2.5886980581655945,presence,0
Testimonial labour (Qualification & Employment Proof),1307,-3095.408460895669,-3095.118394652479,0.2900662431902674,0.27836243920878634,presence,0
Report of selection and medical officers,1307,-1281.1104281836283,-1281.0089573824657,0.10147080116257712,0.21436552156085847,presence,0
Approval notice,1307,-990.5157479855282,-990.4433188183777,0.07242916715040337,0.1814413137399177,presence,0
Registration card,1307,-1408.5585865846447,-1408.6166106479618,-0.05802406331713428,0.3821242098988316,count,0
Testimonial medical form (Medical & Health Documents),1307,-890.9334290885203,-891.0017652744466,-0.06833618592634139,0.09041481032115503,count,0
NAMA agreement,1307,-1592.927747777569,-1593.0066047380265,-0.07885696045741497,1.9399493747247074,count,0
DM.1,1307,-2188.8429631907625,-2190.1657078960934,-1.3227447053309334,4.1769354919815145,count,0
D.1,1307,-1987.965087926238,-1990.4165717871979,-2.4514838609597973,1.7373559632444555,count,0
D.2,1307,-1798.8854721638597,-1803.2492145819838,-4.363742418124048,5.354719283379684,count,0
Judicial and political background check,1307,-1698.3467365760375,-1703.1298409351639,-4.783104359126355,3.5228120476744866,count,0
