doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2518.788239938539,-2516.0584262415437,2.7298136969952793,2.303508636792998,presence,13
NAMA agreement,1307,-1623.16644215225,-1622.8443392181448,0.3221029341052599,2.158595942267611,presence,13
Approval notice,1307,-1017.0554583427854,-1016.7896906152587,0.26576772752673605,0.20378025701939728,presence,13
Report of selection and medical officers,1307,-1325.2065901534406,-1324.951765570805,0.2548245826355924,0.2582475653232834,presence,13
Testimonial medical form (Medical & Health Documents),1307,-896.4714129744477,-896.324658688945,0.14675428550276592,0.11692097238855739,presence,13
Testimonial labour (Qualification & Employment Proof),1307,-3097.7218500798645,-3097.7351684759315,-0.013318396067006688,0.32712564352337997,count,13
Registration card,1307,-1408.5717270192217,-1408.687211748827,-0.11548472960521394,0.4178155895946521,count,13
DM.1,1307,-2135.9042196770642,-2137.909885274089,-2.005665597024745,3.7995359562186306,count,13
D.1,1307,-1977.587241554943,-1980.2862044307326,-2.6989628757896753,1.5734822026577278,count,13
D.2,1307,-1861.0550168637803,-1863.8921614191331,-2.837144555352779,5.0381747733744735,count,13
Judicial and political background check,1307,-1702.9008293015495,-1707.7312967315647,-4.830467430015233,3.7375447496970478,count,13
