doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2619.871146050594,-2616.949686038432,2.9214600121617877,2.5709216380858693,presence,8
NAMA agreement,1307,-1528.0054636152304,-1527.9786105645567,0.026853050673707912,1.6996503512837533,presence,8
DM.1,1307,-2229.2580678235,-2229.244377247167,0.01369057633291959,3.898588025797048,presence,8
Report of selection and medical officers,1307,-1283.1339886998935,-1283.1214265110636,0.012562188829861043,0.09500145399228664,presence,8
Testimonial labour (Qualification & Employment Proof),1307,-3134.045105484533,-3134.0430890645457,0.0020164199872851896,0.24034205832437572,presence,8
Approval notice,1307,-974.8172780760026,-974.9362235206095,-0.11894544460687939,0.26655213440631736,count,8
Testimonial medical form (Medical & Health Documents),1307,-881.9560544471898,-882.1401082505311,-0.1840538033412713,0.12619463153790633,count,8
Registration card,1307,-1385.8167483387617,-1386.0253701587926,-0.20862182003088492,0.44308647739577894,count,8
D.1,1307,-1928.5390062992783,-1931.0596499237074,-2.5206436244291126,1.5952020803080382,count,8
D.2,1307,-1794.4730468884288,-1797.5310929743741,-3.058046085945307,5.671942450810165,count,8
Judicial and political background check,1307,-1728.7430971012018,-1732.7705484439434,-4.027451342741642,3.80257681739573,count,8
