doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2588.418854972995,-2585.7309412153418,2.687913757653405,2.628702280000335,presence,5
DM.1,1307,-2180.097500961593,-2179.3434217058348,0.75407925575837,3.7707805735337754,presence,5
Testimonial medical form (Medical & Health Documents),1307,-990.3465254965506,-990.104825159044,0.24170033750658604,0.16901758427933847,presence,5
Report of selection and medical officers,1307,-1301.4862554769431,-1301.460103294398,0.026152182545047253,0.18538162906502398,presence,5
Approval notice,1307,-1011.8165278174508,-1011.9045705619151,-0.08804274446424643,0.1521728046034342,count,5
Testimonial labour (Qualification & Employment Proof),1307,-3112.3022305368077,-3112.508808330732,-0.20657779392422526,0.2642413818457207,count,5
NAMA agreement,1307,-1525.813982079494,-1526.2940088878697,-0.48002680837566913,2.1203602373274446,count,5
Registration card,1307,-1495.4302090088463,-1495.9489207180916,-0.5187117092452809,0.5965083605343249,count,5
D.1,1307,-1972.536056154632,-1974.3563540147527,-1.8202978601207178,1.5402565239637596,count,5
D.2,1307,-1820.1702109373562,-1822.1856239511485,-2.0154130137923403,6.2197952117247945,count,5
Judicial and political background check,1307,-1762.027633109375,-1767.9672225771965,-5.939589467821406,3.9434889025054938,count,5
