,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
M_trend,0,-4760.563325426085,13.985257540624843,0.0,0.4426550133404615,43.42131608310764,0.0,False,log
M_step,1,-4760.577837861896,14.194234690612575,0.014512435811898428,0.1453170289319581,43.48967944693821,1.0918466133888045,False,log
M_step_trend,2,-4760.7163250051,13.036858485284029,0.15299957901549988,0.4120279577275804,43.90611392992323,1.7365320051091724,False,log
M_iid,3,-4761.012648591425,14.777347494450623,0.44932316534009686,0.0,43.5555296390468,1.4600907655788746,False,log
