doc_type,n_imputations_pooled,pct_per_minor_mean,pct_per_minor_hdi_3,pct_per_minor_hdi_97,pct_per_preadult_mean,pct_per_preadult_hdi_3,pct_per_preadult_hdi_97,pct_per_adult_mean,pct_per_adult_hdi_3,pct_per_adult_hdi_97
D.2,20,-2.7098011677286076,-5.44129775656801,-0.1085342108355021,69.81383444266021,50.14328518692649,91.07632568115922,53.02799341814981,44.115111530444196,62.12664401659561
DM.1,20,3.344382010025962,1.0414440063776682,5.755605967930412,42.88631325181093,27.95086183818064,58.25291275113517,27.386755268110452,19.861280733151496,35.14346801375366
Judicial and political background check,20,-0.05102573787245592,-2.5837987190572957,2.510284721611792,39.289125081910754,22.08893843351802,57.91076638309931,15.3427970335391,6.756216483064818,24.26545870876651
NAMA agreement,20,-0.7467613885508279,-3.4952823876301586,1.9655375477601436,35.601416782939374,17.699060253425696,54.95264698405359,42.74762525745055,33.17831266165325,52.760641559154834
Testimonial medical letter (Medical & Health Documents),20,5.4445647378434865,2.968603527227747,7.991495349837319,25.131095021610065,11.29697270370724,40.11533478535637,30.08176303244215,21.719263566668996,38.889700998665106
Registration card,20,1.463082697717971,-1.2620425208955646,4.2503902295927825,6.342956213569275,-8.829882986656024,22.676852362380224,14.923663659141075,5.423338592767434,24.668750100785818
Approval notice,20,-0.6237729413605277,-3.995926367837572,2.6671167776320077,5.339003326068318,-14.070650894285414,26.917158473344656,3.1899727777800413,-8.523801755788744,15.435540333979628
Testimonial labour (Qualification & Employment Proof),20,-1.9215905901019739,-4.33518432650163,0.44163088307428794,3.86010451843166,-9.150985478835075,18.17208576267003,28.345355291729142,19.200325669931804,38.15077730811876
D.1,20,-1.490179289446331,-3.8337997614116106,0.830658643237718,0.7539542373952152,-11.84874755243159,14.425951929715842,4.4573348451583765,-3.199714906829724,12.519617646419436
Testimonial medical form (Medical & Health Documents),20,0.5634919704360775,-2.598598394719984,3.7686293738487455,0.157639996816927,-18.31838896913863,20.338401050747798,4.329834233271718,-7.2572104521635445,16.68916346481784
Report of selection and medical officers,20,-0.12253160401697191,-3.0487899110024794,2.766516025837866,-0.09783564121171562,-16.017550519381494,17.17796526003017,3.984188875534561,-5.9191491315130405,14.294995614594932
