doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
NAMA agreement,1307,-1607.4002668165883,-1604.0173102158915,3.3829566006968435,2.70016191899971,presence,17
Testimonial medical letter (Medical & Health Documents),1307,-2517.1643205719283,-2514.7368948318717,2.4274257400566057,2.399197555890705,presence,17
Testimonial medical form (Medical & Health Documents),1307,-875.1431509202904,-874.8037559221148,0.339394998175635,0.1789064878586108,presence,17
Testimonial labour (Qualification & Employment Proof),1307,-3048.045796222663,-3047.8433512318393,0.20244499082355105,0.20661977430176048,presence,17
Approval notice,1307,-1034.197312670485,-1034.1976644085353,-0.0003517380503126333,0.3251285825666476,count,17
Registration card,1307,-1393.4651286886299,-1393.5572595713809,-0.09213088275100745,0.25626068649879075,count,17
Report of selection and medical officers,1307,-1331.7774212083314,-1331.8901766470924,-0.11275543876104166,0.09887770581198264,count,17
DM.1,1307,-2114.6880681595603,-2115.8868971348656,-1.1988289753053323,3.8813228624234366,count,17
D.1,1307,-2035.2697152866042,-2037.210521294378,-1.9408060077737446,2.1612070528698744,count,17
D.2,1307,-1819.9145555814716,-1824.1649217000797,-4.250366118608099,5.084081046516087,count,17
Judicial and political background check,1307,-1712.9855487229654,-1717.489425077848,-4.50387635488255,3.77605377256922,count,17
