doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2544.3182840714553,-2541.694929154688,2.623354916767312,2.4566861013827324,presence,2
NAMA agreement,1307,-1623.2606229901244,-1621.3359963532307,1.924626636893663,2.2090832724629728,presence,2
Report of selection and medical officers,1307,-1566.502227005767,-1566.0979695599215,0.4042574458455874,0.09589216500346981,presence,2
Testimonial labour (Qualification & Employment Proof),1307,-3136.3295091036066,-3136.356383480481,-0.026874376874275185,0.2925131364836612,count,2
Registration card,1307,-1444.3312319035622,-1444.371642735237,-0.04041083167476245,0.48829176969781324,count,2
Testimonial medical form (Medical & Health Documents),1307,-1013.433012159148,-1013.4930912806348,-0.06007912148675132,0.28087198947202097,count,2
Approval notice,1307,-1000.5621389894861,-1001.0702438613635,-0.5081048718773218,0.3557435350908661,count,2
DM.1,1307,-2250.189839889507,-2252.8761251305878,-2.6862852410808955,4.238060527675378,count,2
D.1,1307,-2032.8722621961936,-2036.264573854473,-3.392311658279368,2.0731052232768263,count,2
D.2,1307,-1819.7970549005183,-1824.9277487389854,-5.130693838467096,4.829020485057445,count,2
Judicial and political background check,1307,-1756.58636907866,-1762.351603204698,-5.765234126037967,3.956068785143284,count,2
