doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2531.93074098289,-2529.820759665213,2.1099813176770112,2.4406719964717363,presence,9
DM.1,1307,-2169.9265100149278,-2169.1650724348688,0.7614375800590096,4.254519653145503,presence,9
NAMA agreement,1307,-1678.5222904526395,-1678.1254851690094,0.39680528363010126,2.3174206029886726,presence,9
Approval notice,1307,-1064.0586683192812,-1063.6779475012022,0.3807208180789985,0.3247256022114626,presence,9
Testimonial labour (Qualification & Employment Proof),1307,-3112.9128074177997,-3112.6176819052325,0.29512551256721054,0.17025252927388387,presence,9
Testimonial medical form (Medical & Health Documents),1307,-905.0966992699341,-904.8771731199863,0.2195261499477965,0.14916555306227727,presence,9
Registration card,1307,-1401.9232279791506,-1401.8652910585083,0.05793692064230527,0.29386843375664196,presence,9
Report of selection and medical officers,1307,-1244.7803674223385,-1244.7848524016617,-0.004484979323251537,0.061582016630761835,count,9
D.1,1307,-1969.0220607031897,-1970.9117237382766,-1.889663035086869,1.4934756525832549,count,9
Judicial and political background check,1307,-1680.3079259703516,-1683.5339680498391,-3.22604207948757,3.4033061937930267,count,9
D.2,1307,-1753.951213998015,-1757.8212061347936,-3.869992136778592,4.856597747278231,count,9
