doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2534.647821657677,-2531.5948638870013,3.0529577706756754,2.438551008543914,presence,3
DM.1,1307,-2144.3938421842195,-2142.6187833727563,1.7750588114631682,4.109600678340448,presence,3
NAMA agreement,1307,-1607.3981174715432,-1606.7173517874041,0.6807656841390326,1.8332054040071948,presence,3
Report of selection and medical officers,1307,-1339.5809721856967,-1339.272414355139,0.3085578305576746,0.17094101006400383,presence,3
Approval notice,1307,-1067.645197764113,-1067.6260538806296,0.019143883483366153,0.21766260667670467,presence,3
Testimonial labour (Qualification & Employment Proof),1307,-3141.308634959917,-3141.3484426254786,-0.039807665561511385,0.26016396345137355,count,3
Testimonial medical form (Medical & Health Documents),1307,-895.3064020203374,-895.4848554940297,-0.17845347369234332,0.18436983936302595,count,3
Registration card,1307,-1447.0149283432988,-1447.775827202311,-0.7608988590120589,0.6323652093035563,count,3
D.2,1307,-1823.948680092794,-1825.6016359099306,-1.6529558171366716,5.594017961974681,count,3
D.1,1307,-2019.5352556628923,-2023.474192447035,-3.9389367841426974,1.8726204496634509,count,3
Judicial and political background check,1307,-1734.9696289764836,-1740.3907620696045,-5.421133093120943,3.8931355904103957,count,3
