doc_type,n_obs,elpd_count,elpd_presence,elpd_diff_presence_minus_count,se_diff,winner,imputation
Testimonial medical letter (Medical & Health Documents),1307,-2558.4917947232034,-2556.045716074936,2.446078648267303,2.4518334243880915,presence,6
NAMA agreement,1307,-1533.0957693456214,-1532.2581348800618,0.8376344655596313,1.801038751315619,presence,6
Testimonial medical form (Medical & Health Documents),1307,-1072.5498943658863,-1072.3922274196234,0.157666946262907,0.3441083557080734,presence,6
Report of selection and medical officers,1307,-1259.838978303108,-1259.707311401092,0.13166690201592246,0.08707695383091431,presence,6
Testimonial labour (Qualification & Employment Proof),1307,-3131.8785252568505,-3132.0021971215283,-0.12367186467781721,0.2520655038002061,count,6
Approval notice,1307,-1021.4486607449628,-1021.5884130093699,-0.1397522644070932,0.27786574868008185,count,6
Registration card,1307,-1404.9184025695035,-1405.154845377368,-0.2364428078644778,0.3579809932180224,count,6
DM.1,1307,-2197.562155531601,-2199.173797161951,-1.6116416303498227,3.8479416028572975,count,6
D.1,1307,-1949.4312769403757,-1951.7777184357963,-2.3464414954205495,1.5186067320641028,count,6
D.2,1307,-1848.885860154611,-1852.9573057814455,-4.071445626834475,5.439674996660715,count,6
Judicial and political background check,1307,-1737.7193258921834,-1742.1618616407163,-4.442535748532919,3.870019069816409,count,6
