class	precision	recall	f1-score	support
not-start	0.9484536082474226	0.92	0.934010152284264	100.0
start	0.966804979253112	0.9789915966386554	0.9728601252609603	238.0
macro avg	0.9576292937502673	0.9494957983193277	0.9534351387726121	338.0
weighted avg	0.9613755795472867	0.9615384615384616	0.9613660504157838	338.0
